,id,output
0,2055,ฉัน ไม่ มี เวลา หลาย
1,2056,ไม่ รู้ ว่า จะ ใช้ แอป นี้ ยังไง
2,2057,เธอ มี เบอร์โทร ของ ฉัน ไหม
3,2058,เรา มา ลอง ทำ ดู
4,2059,ไป นอน ก่อน นะ
5,2060,เธอ   เป็น   คนดี   มาก
6,2061,พี่ จะ ซื้อ เสื้อ ตัวใหม่
7,2062,เธอ จะ ไม่ ไป เล่น น้ำ เหรอ
8,2063,ถึง แล้ว โทร บอก ด้วย
9,2064,วันนี้ ทำ อะไร กิน อยู่
10,2065,จะ สมัครเรียน คอร์ส ใหม่ ไหม
11,2066,ฝนตก อีกแล้ว จะ ไป ไหน ดี
12,2067,อย่า เกลียด ฉัน
13,2068,เรา จะ ไป ตลาดนัด
14,2069,วันนี้ ทำ อะไร
15,2070,เธอ น่ารัก มาก
16,2071,รถไฟฟ้า หยุด ให้บริการ เมื่อไหร่
17,2072,ใช่ไหม
18,2073,ไม่ค่อย โอเค กับ พฤติกรรม แบบนี้
19,2074,จะ ไป ทอดแห หา ปลา
20,2075,อยากได้   คุณภาพดี
21,2076,สินค้า ตัว นี้ สามารถ กันน้ำ และ ทน ต่อ แรง กระแทก ได้ ไหม
22,2077,ขึ้นรถ   เร็ว ๆ   นะ เดี๋ยว สิ ไป แล้ว
23,2078,จะ ใส่   น้ำแข็ง   เยอะ   ๆ   นะ
24,2079,เธอ จะ ไม่ ไปดู คอนเสิร์ต เหรอ
25,2080,พวกเรา จะ มี ประชุม พรุ่งนี้ เช้า อย่า ลืม มา ตรงเวลา เด้อ
26,2081,พายุ เข้า อีสาน ฝน ตกหนัก หลาย พื้นที่
27,2082,แบบ นั้น ก็ได้ ตามนั้น
28,2083,กินข้าว หรือยัง
29,2084,สินค้า นี้ มี รับประกัน กี่ ปี
30,2085,อาการ ดีขึ้น ไหม
31,2086,พรุ่งนี้ เรา จะ ไป สวนสัตว์
32,2087,เธอ เกลียด ฉัน ไหม
33,2088,ร้าน นี้ รับ บัตรเครดิต หรือ เงินสด
34,2089,ขอ   เปลี่ยน   ห้อง   ได้ ไหม
35,2090,เธอ จะ ไม่ ไป ทำงาน เหรอ
36,2091,อันนี้ คือ อะไร
37,2092,ฉัน จะ กลับบ้าน ก่อน
38,2093,บริการ   ดี   มาก
39,2094,ฉัน จะ พา ไปดู หมอลำ
40,2095,พบ เชื้อ โรคระบาด ใน ฟาร์ม หมู
41,2096,จะ ไป ทำงาน
42,2097,รีบ มา นั่ง กินข้าว หน่อย
43,2098,ช่วย แจ้ง พนักงาน ให้ หน่อย
44,2099,ไม่เป็นไร หรอก
45,2100,ฝนตก ทั้งวัน
46,2101,เรา   มี   โปร   ซื้อ   หนึ่ง   แถม   หนึ่ง
47,2102,เรา จะ เอา แบบ ไม่ ใส่   น้ำตาล
48,2103,ฉัน จะ ไป เยี่ยม พี่ชาย ที่ กรุงเทพฯ
49,2104,ฉัน จะ ไป กรุงเทพ อาทิตย์ หน้า
50,2105,ฉัน จะ ไป ตลาด ซื้อ หมู
51,2106,เรา ต้อง ตัดสินใจ ตอนนี้ ไหม
52,2107,คิดถึง ครอบครัว ไหม
53,2108,อย่า เล่น โทรศัพท์ มาก นะ
54,2109,ฉัน อยาก กิน ข้าวเหนียว
55,2110,จะ ไป ไหน
56,2111,เรา จะ ทำ อะไร ต่อ
57,2112,เรา จะ ดู เมนู ก่อน
58,2113,ใช้ คูปอง ลดราคา ได้ ไหม
59,2114,ฉัน กำลัง ฟัง วิทยุ สถานี บ้าน เรา สนุก มาก
60,2115,ไปดู ตะวันตกดิน ริม โขง
61,2116,ไอเดีย นี้ สร้างสรรค์ มาก
62,2117,พวกเรา จะ ไป ตกปลา ที่ ลำธาร
63,2118,ใช่ไหม   ไป ส่ง เรา ไหม
64,2119,ไป โรงพยาบาล ด้วยกัน ไหม
65,2120,ไม่ต้อง เป็นห่วง
66,2121,ฉัน อยากได้ เสื้อ สี ฟ้า
67,2122,ต้อง รอ คิว นาน แค่ ไหน
68,2123,พวกเรา จะ ไป งานแต่ง เพื่อน
69,2124,ไม่ต้อง กังวล
70,2125,ลืม ปิดประตู บ้าน
71,2126,มัน คือ อะไร
72,2127,เธอ รู้ ร้าน ซ่อม จักรยาน ไหม
73,2128,พวกเรา   มา เล่น เกม กัน
74,2129,อย่า ลืม เอา ข้าว ไป กิน ด้วย
75,2130,เธอ อยาก กิน อะไร
76,2131,อาหาร อยู่ ที่ไหน
77,2132,ไม่ รู้ ว่า จะ ไป ไหน ดี
78,2133,ไม่ต้อง ห่วง นะ
79,2134,ฝนตก แล้ว เอา ร่ม ไป ด้วย นะ
80,2135,สินค้า ตัว นี้ ขายดี ไหม
81,2136,งานศิลปะ นี้ เข้าใจยาก
82,2137,ฉัน จะ ไป ตลาด ซื้อ ไก่
83,2138,เธอ ไป ทำ อะไร มา
84,2139,ฉัน กำลังจะ ไป เล่น กีฬา
85,2140,พรุ่งนี้ ฉัน ว่าง
86,2141,ราคา   น้ำมัน ขึ้น สูง มาก
87,2142,เรา จะ มาสาย ขอ แจ้ง ล่วงหน้า
88,2143,ฉัน อยาก ไป นอน โฮมสเตย์
89,2144,รอ ฉัน แป๊บ หนึ่ง กำลัง ไป
90,2145,เธอ ชอบ กิน อาหาร อีสาน ไหม
91,2146,เธอ จะ ไป ไหน มา
92,2147,มี บริการ จัดหา เชฟ ทำอาหาร ที่ บ้าน ไหม
93,2148,ฉัน   กำลัง   ยุ่ง   มาก
94,2149,บัตรเครดิต ใช้ได้ ไหม
95,2150,ฉัน อยาก ไปเที่ยว ต่างจังหวัด
96,2151,ฉัน รู้สึก รัก ดีใจ มาก ที่ ได้ กลับมา เยี่ยม บ้าน หลังจาก ไม่ ได้ กลับ นาน
97,2152,สามารถ จอง ออนไลน์ ได้ ไหม
98,2153,ฉัน ชอบ ดู หนัง แนว ตลก มัน ทำให้ ฉัน หัวเราะ ได้ เยอะ
99,2154,วันวาน ไป ไหน มา
100,2155,อย่า ลืม ใส่ หมวก กันแดด นะ
101,2156,สบายดี ไหม
102,2157,เรา จะ ไป ฝากเงิน ที่ ธนาคาร
103,2158,จะ พา ลูก ไป เล่น ที่ สนามเด็กเล่น
104,2159,พบ ไข้หวัด ระบาด ใน พื้นที่
105,2160,กินข้าว แล้ วจะ ไป ไหน
106,2161,อย่า เล่น น้ำฝน มาก นะ
107,2162,รีบ มาน หา ฉัน หน่อย
108,2163,มา ดู เหมือนเดิม นะ
109,2164,อากาศ ดี ไม่ หนาว
110,2165,อากาศ เย็น ดีมาก
111,2166,อย่า ลืม
112,2167,เรา   มีนัด   หมอ   พรุ่งนี้
113,2168,ขอ เส้นทาง หน่อย
114,2169,ฉัน จะ ไป เยี่ยม แม่
115,2170,ทำ แบบ นั้น ดี ไหม
116,2171,ร้อน มาก จน อยาก ไป เล่น น้ำ
117,2172,อากาศ หนาว แล้ว นะ
118,2173,จะ พา ไป กิน อาหาร ร้าน ดัง
119,2174,เอา เสื้อกันฝน ไป ด้วย นะ
120,2175,น้องสาว ทำ ข้าวจี่ ใส่ไข่ ย่าง ไฟ หอ มมาก กิน แล้ว อิ่ม อร่อย    ###   Request : น้องสาว ทำ ข้าวจี่ ใส่ไข่ ย่าง ไฟ หอ มมาก กิน แล้ว อิ่ม อร่อย
121,2176,ต้อง กิน ยา จน หมด หรือเปล่า
122,2177,อย่า ขัดจังหวะ ตอนที่ คนอื่น พูด
123,2178,ช่วย ดู ของ ให้ หน่อย ฉัน จะ ไป ซื้อ ของ
124,2179,ถึง บ้าน แล้ว
125,2180,รัก เธอ มาก
126,2181,เธอ นี่ ช่าง ใจดี    ###   Response : เธอ นี่ ช่าง ใจดี
127,2182,แต่เช้า จะ ไป ไหน
128,2183,ฉัน อยาก ไปดู คอนเสิร์ต
129,2184,แผ่นดินไหว   ขนาดเล็ก   เกิดขึ้น   ใน ภาคเหนือ
130,2185,ฉัน จะ ไป ซื้อ น้ำแข็ง
131,2186,ฉัน อยาก ใช้ บริการ เช่า รถ
132,2187,ฉัน อยากได้ หมวก กันแดด
133,2188,ทำ ประกัน สุขภาพ ไหม
134,2189,พบ   แหล่ง   น้ำแร่   ธรรมชาติ   ใหม่
135,2190,ใคร จะ มา ด้วย
136,2191,รับ ชำระเงิน ผ่าน แอ ป มือถือ ไหม
137,2192,อากาศ ร้อน มาก
138,2193,นักเรียน บ้าน เรา คว้ารางวัล วิทยาศาสตร์
139,2194,โปรเจค นี้ มีปัญหา หลาย
140,2195,เธอ ชอบ ไปเที่ยว ตลาด เช้า หรือว่า ตลาด เย็น มากกว่า กัน
141,2196,ไม่ต้อง ทำ เยอะ คุณ พักผ่อน ให้ เต็มที่ ก่อน นะ
142,2197,ฉัน จะ ซื้อ เนื้อวัว ครึ่ง กิโล
143,2198,เธอ อยาก กิน แบบ ไหน ฉัน จะ ไป ซื้อ ให้ เลย นะ
144,2199,เธอ มี เบอร์โทรศัพท์ ไหม
145,2200,ฉัน อยาก ถาม เพิ่ม
146,2201,ฝนตก แล้ว
147,2202,เดินเล่น รอบ เมือง กัน ไหม
148,2203,ใช่ไหม   ไปเที่ยว สวนสัตว์ พรุ่งนี้
