artifact_id,field_path,verified_value,verification_status,reviewer,source_render_path,notes
VI-V-002-INV-2567-954029,payment_id,BT-202410-180886666534,verified_from_image,Codex-public-render-review,fahmai_renders_with_json\renders\vendor_invoice\2024-10\VI-V-002-INV-2567-954029.png,Verified directly from the visible payment reference line.
VI-V-014-INV-2567-561890,payment_id,BT-202411-657883711503,verified_from_image,Codex-public-render-review,fahmai_renders_with_json\renders\vendor_invoice\2024-11\VI-V-014-INV-2567-561890.png,Verified directly from the visible payment reference line.
BS-OPER-BKK-EMSP-2567-11,L2_BT-202411-874610403800_amount_thb,"166,400.00",verified_from_image,Codex-public-render-review,fahmai_renders_with_json\renders\bank_statement\2024-11\BS-OPER-BKK-EMSP-2567-11_transactions_p2.png,Verified directly from the visible compact statement row.
BS-OPER-BKK-EMSP-2567-11,L2_BT-202411-874610403800_balance_after_thb,"5,978,200.00",verified_from_image,Codex-public-render-review,fahmai_renders_with_json\renders\bank_statement\2024-11\BS-OPER-BKK-EMSP-2567-11_transactions_p2.png,Verified directly from the visible compact statement row.
BS-OPER-BKK-EMSP-2568-04,L5_BT-202504-532860939192_amount_thb,"222,300.00",verified_from_image,Codex-public-render-review,fahmai_renders_with_json\renders\bank_statement\2025-04\BS-OPER-BKK-EMSP-2568-04_transactions_p5.png,Verified directly from the visible compact statement row.
BS-OPER-BKK-EMSP-2568-04,L5_BT-202504-532860939192_balance_after_thb,"11,433,400.00",verified_from_image,Codex-public-render-review,fahmai_renders_with_json\renders\bank_statement\2025-04\BS-OPER-BKK-EMSP-2568-04_transactions_p5.png,Verified directly from the visible compact statement row.
BS-OPER-BKK-SIAM-2568-09,L7_BT-202509-173871325385_amount_thb,"219,800.00",verified_from_image,Codex-public-render-review,fahmai_renders_with_json\renders\bank_statement\2025-09\BS-OPER-BKK-SIAM-2568-09_transactions_p7.png,Verified directly from the visible compact statement row.
BS-OPER-BKK-SIAM-2568-09,L7_BT-202509-173871325385_balance_after_thb,"23,601,500.00",verified_from_image,Codex-public-render-review,fahmai_renders_with_json\renders\bank_statement\2025-09\BS-OPER-BKK-SIAM-2568-09_transactions_p7.png,Verified directly from the visible compact statement row.
BS-OPER-KKC-CTRL-2568-01,L6_BT-202501-581830678212_amount_thb,"160,300.00",verified_from_image,Codex-public-render-review,fahmai_renders_with_json\renders\bank_statement\2025-01\BS-OPER-KKC-CTRL-2568-01_transactions_p6.png,Verified directly from the visible compact statement row.
BS-OPER-KKC-CTRL-2568-01,L6_BT-202501-581830678212_balance_after_thb,"9,300,500.00",verified_from_image,Codex-public-render-review,fahmai_renders_with_json\renders\bank_statement\2025-01\BS-OPER-KKC-CTRL-2568-01_transactions_p6.png,Verified directly from the visible compact statement row.
BS-OPER-KKC-CTRL-2568-09,L2_BT-202509-875686066114_amount_thb,"133,000.00",verified_from_image,Codex-public-render-review,fahmai_renders_with_json\renders\bank_statement\2025-09\BS-OPER-KKC-CTRL-2568-09_transactions_p2.png,Verified directly from the visible compact statement row.
BS-OPER-KKC-CTRL-2568-09,L2_BT-202509-875686066114_balance_after_thb,"4,303,800.00",verified_from_image,Codex-public-render-review,fahmai_renders_with_json\renders\bank_statement\2025-09\BS-OPER-KKC-CTRL-2568-09_transactions_p2.png,Verified directly from the visible compact statement row.
BS-OPER-UDN-CTRL-2567-06,L3_BT-202406-1058572191789_amount_thb,"55,900.00",verified_from_image,Codex-public-render-review,fahmai_renders_with_json\renders\bank_statement\2024-06\BS-OPER-UDN-CTRL-2567-06_transactions_p3.png,Verified directly from the visible compact statement row.
BS-OPER-UDN-CTRL-2567-06,L3_BT-202406-1058572191789_balance_after_thb,"3,558,200.00",verified_from_image,Codex-public-render-review,fahmai_renders_with_json\renders\bank_statement\2024-06\BS-OPER-UDN-CTRL-2567-06_transactions_p3.png,Verified directly from the visible compact statement row.
BS-OPER-UDN-CTRL-2568-03,L5_BT-202503-1077550841966_amount_thb,"44,700.00",verified_from_image,Codex-public-render-review,fahmai_renders_with_json\renders\bank_statement\2025-03\BS-OPER-UDN-CTRL-2568-03_transactions_p5.png,Verified directly from the visible compact statement row.
BS-OPER-UDN-CTRL-2568-03,L5_BT-202503-1077550841966_balance_after_thb,"5,091,800.00",verified_from_image,Codex-public-render-review,fahmai_renders_with_json\renders\bank_statement\2025-03\BS-OPER-UDN-CTRL-2568-03_transactions_p5.png,Verified directly from the visible compact statement row.
BS-OPER-BKK-SIAM-2568-10,L5_BT-202510-267809200745_amount_thb,"222,700.00",verified_from_image,Codex-public-render-review,fahmai_renders_with_json\renders\bank_statement\2025-10\BS-OPER-BKK-SIAM-2568-10_transactions_p5.png,Verified directly from the visible compact statement row after low-confidence OCR review.
BS-OPER-BKK-SIAM-2568-10,L5_BT-202510-267809200745_balance_after_thb,"17,398,000.00",verified_from_image,Codex-public-render-review,fahmai_renders_with_json\renders\bank_statement\2025-10\BS-OPER-BKK-SIAM-2568-10_transactions_p5.png,Verified directly from the visible compact statement row after low-confidence OCR review.
