artifact_id,renderer_template_id,transaction_pages,unique_transaction_ids,repeated_full_id_list_across_pages,stored_page_order_needs_natural_sort
BS-BBL-OPER-2567-01,bank_statement_bbl,1,1,False,False
BS-BBL-OPER-2567-02,bank_statement_bbl,1,1,False,False
BS-BBL-OPER-2567-03,bank_statement_bbl,1,1,False,False
BS-BBL-OPER-2567-04,bank_statement_bbl,1,1,False,False
BS-BBL-OPER-2567-05,bank_statement_bbl,1,1,False,False
BS-BBL-OPER-2567-06,bank_statement_bbl,1,1,False,False
BS-BBL-OPER-2567-07,bank_statement_bbl,1,1,False,False
BS-BBL-OPER-2567-08,bank_statement_bbl,1,1,False,False
BS-BBL-OPER-2567-09,bank_statement_bbl,1,1,False,False
BS-BBL-OPER-2567-10,bank_statement_bbl,1,1,False,False
BS-BBL-OPER-2567-11,bank_statement_bbl,1,1,False,False
BS-BBL-OPER-2567-12,bank_statement_bbl,1,1,False,False
BS-BBL-OPER-2568-01,bank_statement_bbl,1,1,False,False
BS-BBL-OPER-2568-02,bank_statement_bbl,1,1,False,False
BS-BBL-OPER-2568-03,bank_statement_bbl,1,1,False,False
BS-BBL-OPER-2568-04,bank_statement_bbl,1,1,False,False
BS-BBL-OPER-2568-05,bank_statement_bbl,1,1,False,False
BS-BBL-OPER-2568-06,bank_statement_bbl,1,1,False,False
BS-BBL-OPER-2568-07,bank_statement_bbl,1,1,False,False
BS-BBL-OPER-2568-08,bank_statement_bbl,1,1,False,False
BS-BBL-OPER-2568-09,bank_statement_bbl,1,1,False,False
BS-BBL-OPER-2568-10,bank_statement_bbl,1,1,False,False
BS-BBL-OPER-2568-11,bank_statement_bbl,1,1,False,False
BS-BBL-OPER-2568-12,bank_statement_bbl,1,1,False,False
BS-KBANK-OPER-2567-01,bank_statement_kbank,22,995,True,True
BS-KBANK-OPER-2567-02,bank_statement_kbank,28,1245,True,True
BS-KBANK-OPER-2567-03,bank_statement_kbank,34,1532,True,True
BS-KBANK-OPER-2567-04,bank_statement_kbank,33,1505,True,True
BS-KBANK-OPER-2567-05,bank_statement_kbank,34,1525,True,True
BS-KBANK-OPER-2567-06,bank_statement_kbank,34,1537,True,True
BS-KBANK-OPER-2567-07,bank_statement_kbank,36,1621,True,True
BS-KBANK-OPER-2567-08,bank_statement_kbank,36,1613,True,True
BS-KBANK-OPER-2567-09,bank_statement_kbank,35,1579,True,True
BS-KBANK-OPER-2567-10,bank_statement_kbank,36,1622,True,True
BS-KBANK-OPER-2567-11,bank_statement_kbank,34,1556,True,True
BS-KBANK-OPER-2567-12,bank_statement_kbank,36,1614,True,True
BS-KBANK-OPER-2568-01,bank_statement_kbank,35,1574,True,True
BS-KBANK-OPER-2568-02,bank_statement_kbank,33,1502,True,True
BS-KBANK-OPER-2568-03,bank_statement_kbank,35,1607,True,True
BS-KBANK-OPER-2568-04,bank_statement_kbank,35,1581,True,True
BS-KBANK-OPER-2568-05,bank_statement_kbank,35,1604,True,True
BS-KBANK-OPER-2568-06,bank_statement_kbank,33,1489,True,True
BS-KBANK-OPER-2568-07,bank_statement_kbank,37,1682,True,True
BS-KBANK-OPER-2568-08,bank_statement_kbank,34,1540,True,True
BS-KBANK-OPER-2568-09,bank_statement_kbank,35,1581,True,True
BS-KBANK-OPER-2568-10,bank_statement_kbank,38,1715,True,True
BS-KBANK-OPER-2568-11,bank_statement_kbank,34,1554,True,True
BS-KBANK-OPER-2568-12,bank_statement_kbank,36,1632,True,True
BS-OPER-BKK-CTW-2567-01,bank_statement_kbank,3,118,True,False
BS-OPER-BKK-CTW-2567-02,bank_statement_kbank,3,111,True,False
BS-OPER-BKK-CTW-2567-03,bank_statement_kbank,3,120,True,False
BS-OPER-BKK-CTW-2567-04,bank_statement_kbank,3,98,True,False
BS-OPER-BKK-CTW-2567-05,bank_statement_kbank,3,118,True,False
BS-OPER-BKK-CTW-2567-06,bank_statement_kbank,3,115,True,False
BS-OPER-BKK-CTW-2567-07,bank_statement_kbank,3,116,True,False
