id,output
2055,ฉันไม่มีเวลาหลาย
2056,ไม่รู้ว่าจะใช้แอปนี้ยังไง
2057,เธอมีเบอร์โทรของฉันไหม
2058,เรามาลองทำดู
2059,ไปนอนก่อนนะ
2060,เธอ เป็น คนดี มาก
2061,พี่จะซื้อเสื้อตัวใหม่
2062,เธอจะไม่ไปเล่นน้ำเหรอ
2063,ถึงแล้วโทรบอกด้วย
2064,วันนี้ทำอะไรกินอยู่
2065,จะสมัครเรียนคอร์สใหม่ไหม
2066,ฝนตกอีกแล้วจะไปไหนดี
2067,อย่าเกลียดฉัน
2068,เราจะไปตลาดนัด
2069,วันนี้ทำอะไร
2070,เธอน่ารักมาก
2071,รถไฟฟ้าหยุดให้บริการเมื่อไหร่
2072,ใช่ไหม
2073,ไม่ค่อยโอเคกับพฤติกรรมแบบนี้
2074,จะไปทอดแหหาปลา
2075,อยากได้ คุณภาพดี
2076,สินค้าตัวนี้สามารถกันน้ำและทนต่อแรงกระแทกได้ไหม
2077,ขึ้นรถ เร็ว ๆ นะเดี๋ยวสิไปแล้ว
2078,จะใส่ น้ำแข็ง เยอะ ๆ นะ
2079,เธอจะไม่ไปดูคอนเสิร์ตเหรอ
2080,พวกเราจะมีประชุมพรุ่งนี้เช้าอย่าลืมมาตรงเวลาเด้อ
2081,พายุเข้าอีสานฝนตกหนักหลายพื้นที่
2082,แบบนั้นก็ได้ตามนั้น
2083,กินข้าวหรือยัง
2084,สินค้านี้มีรับประกันกี่ปี
2085,อาการดีขึ้นไหม
2086,พรุ่งนี้เราจะไปสวนสัตว์
2087,เธอเกลียดฉันไหม
2088,ร้านนี้รับบัตรเครดิตหรือเงินสด
2089,ขอ เปลี่ยน ห้อง ได้ไหม
2090,เธอจะไม่ไปทำงานเหรอ
2091,อันนี้คืออะไร
2092,ฉันจะกลับบ้านก่อน
2093,บริการ ดี มาก
2094,ฉันจะพาไปดูหมอลำ
2095,พบเชื้อโรคระบาดในฟาร์มหมู
2096,จะไปทำงาน
2097,รีบมานั่งกินข้าวหน่อย
2098,ช่วยแจ้งพนักงานให้หน่อย
2099,ไม่เป็นไรหรอก
2100,ฝนตกทั้งวัน
2101,เรา มี โปร ซื้อ หนึ่ง แถม หนึ่ง
2102,เราจะเอาแบบไม่ใส่ น้ำตาล
