table,column,dtype,rows,non_null_rows,null_rows,null_pct,unique_values,unique_pct_of_non_null,sample_values,top_values
DIM_BANK_ACCOUNT,account_id,object,14,14,0,0.0,14,100.0,KBANK-OPER | SCB-OPER | BBL-OPER | OPER-BKK-CTW | OPER-BKK-EMSP,KBANK-OPER: 1 | SCB-OPER: 1 | BBL-OPER: 1 | OPER-BKK-CTW: 1 | OPER-BKK-EMSP: 1
DIM_BANK_ACCOUNT,account_number,object,14,14,0,0.0,14,100.0,001-1-00001-1 | 002-1-00001-2 | 003-1-00001-3 | 100-1-10000-1 | 101-2-10001-2,001-1-00001-1: 1 | 002-1-00001-2: 1 | 003-1-00001-3: 1 | 100-1-10000-1: 1 | 101-2-10001-2: 1
DIM_BANK_ACCOUNT,account_role,object,14,14,0,0.0,1,7.142857142857142,operating,operating: 14
DIM_BANK_ACCOUNT,associated_branch_code,object,14,11,3,21.428571428571427,11,100.0,BKK-CTW | BKK-EMSP | BKK-PKT | BKK-R9 | BKK-SIAM,<NULL>: 3 | BKK-CTW: 1 | BKK-EMSP: 1 | BKK-PKT: 1 | BKK-R9: 1
DIM_BANK_ACCOUNT,bank,object,14,14,0,0.0,3,21.428571428571427,KBank | SCB | BBL,KBank: 5 | SCB: 5 | BBL: 4
DIM_BANK_ACCOUNT,currency,object,14,14,0,0.0,1,7.142857142857142,THB,THB: 14
DIM_BANK_ACCOUNT,opening_balance_thb,float64,14,14,0,0.0,4,28.57142857142857,10000000.0 | 5000000.0 | 3000000.0 | 1000000.0,1000000.0: 11 | 10000000.0: 1 | 5000000.0: 1 | 3000000.0: 1
DIM_BANK_ACCOUNT,statement_cadence,object,14,14,0,0.0,1,7.142857142857142,monthly,monthly: 14
DIM_BRANCH,branch_code,object,11,11,0,0.0,11,100.0,BKK-R9 | BKK-SIAM | BKK-PKT | BKK-CTW | CNX-MAYA,BKK-R9: 1 | BKK-SIAM: 1 | BKK-PKT: 1 | BKK-CTW: 1 | CNX-MAYA: 1
DIM_BRANCH,branch_type,object,11,11,0,0.0,3,27.27272727272727,hq | branch | remote,branch: 9 | hq: 1 | remote: 1
DIM_BRANCH,employee_headcount_share_pct,float64,11,11,0,0.0,7,63.63636363636363,0.18 | 0.08 | 0.06 | 0.07 | 0.05,0.06: 3 | 0.05: 2 | 0.07: 2 | 0.08: 1 | 0.18: 1
DIM_BRANCH,is_service_center,bool,11,11,0,0.0,2,18.181818181818183,True | False,True: 8 | False: 3
DIM_BRANCH,name_en,object,11,11,0,0.0,11,100.0,Bangkok Ratchada 9 HQ | FahMai Siam | FahMai Phuket Road | FahMai Central World | FahMai Chiang Mai Maya,Bangkok Ratchada 9 HQ: 1 | FahMai Siam: 1 | FahMai Phuket Road: 1 | FahMai Central World: 1 | FahMai Chiang Mai Maya: 1
DIM_BRANCH,name_th,object,11,11,0,0.0,11,100.0,HQ Ratchada 9 | FahMai Siam | FahMai Phuket Road | FahMai Central World | FahMai Chiang Mai Maya,HQ Ratchada 9: 1 | FahMai Siam: 1 | FahMai Phuket Road: 1 | FahMai Central World: 1 | FahMai Chiang Mai Maya: 1
DIM_BRANCH,retail_floor_coefficient,float64,11,11,0,0.0,6,54.54545454545454,0.2 | 1.0 | 1.2 | 0.9 | 1.3,1.0: 6 | 0.2: 1 | 1.2: 1 | 0.9: 1 | 1.3: 1
DIM_BRANCH,traffic_share_pct,float64,11,11,0,0.0,8,72.72727272727273,0.08 | 0.16 | 0.1 | 0.12 | 0.09,0.08: 2 | 0.1: 2 | 0.09: 2 | 0.16: 1 | 0.12: 1
DIM_CUSTOMER,account_manager_id,object,30000,300,29700,99.0,1,0.33333333333333337,EMP-L3-00002,"<NULL>: 29,700 | EMP-L3-00002: 300"
DIM_CUSTOMER,age,float64,30000,29700,300,1.0,50,0.16835016835016833,26.0 | 27.0 | 28.0 | 29.0 | 30.0,26.0: 600 | 27.0: 600 | 28.0: 600 | 29.0: 600 | 30.0: 600
DIM_CUSTOMER,b2b_subtype,object,30000,300,29700,99.0,2,0.6666666666666667,SME | Enterprise,"<NULL>: 29,700 | SME: 150 | Enterprise: 150"
DIM_CUSTOMER,channel_pref,object,30000,30000,0,0.0,2,0.006666666666666667,mixed | offline,"mixed: 29,700 | offline: 300"
