id,output
2055,ฉันไม่มีเวลาเยอะ
2056,ไม่รู้ว่าจะใช้แอปนี้ยังไง
2057,เธอมีเบอร์โทรติดต่อฉันไหม
2058,เรา มาจะลองทำดู
2059,ไปนอนก่อนนะ
2060,เธอเป็นคนดีมาก
2061,พี่จะซื้อเสื้อตัวใหม่
2062,เธอจะไม่ไปเล่นน้ำเหรอ
2063,ถึงแล้วโทรบอกด้วยนะ
2064,วันนี้ทำอะไรกินบ้าง
2065,จะสมัครเรียนคอร์สใหม่ไหม
2066,ฝนตกอีกแล้วจะไปไหนดี
2067,อย่าเกลียดฉัน
2068,เราจะไปตลาดนัด
2069,วันนี้ทำอะไร
2070,เธอน่ารักมาก
2071,รถไฟฟ้าหยุดให้บริการเมื่อไหร่
2072,ใช่แล้วหรือยัง
2073,ไม่ค่อยโอเคกับพฤติกรรมแบบนี้
2074,จะไปทอดแหหาปลา
2075,อยากได้คุณภาพดี
2076,สินค้าตัวนี้สามารถกันน้ำแล้วกะทนต่อแรงกระแทกได้ไหม
2077,ขึ้นรถ เร็ว ๆ จะไปแล้ว
2078,จะใส่น้ำแข็งเยอะๆนะ
2079,เธอจะไม่ไปดูคอนเสิร์ตเหรอ
2080,เราจะมีประชุมพรุ่งนี้เช้าจำไว้ให้ดีนะอย่าลืม
2081,พายุเข้าอีสานฝนตกหนักมากในบางพื้นที่
2082,ทำยังไงก็ได้
2083,กินข้าวหรือยัง
2084,สินค้านี้มีรับประกันกี่ปี
2085,อาการดีขึ้นไหม
2086,พรุ่งนี้เราจะไปสวนสัตว์
2087,เธอเกลียดฉันไหม
2088,ร้านนี้รับบัตรเครดิตหรือเงินสด
2089,ขอเปลี่ยนห้องได้ไหม
2090,เธอจะไม่ไปทำงานหรือ
2091,อันนี้คืออะไร
2092,ฉันจะกลับบ้านก่อน
2093,บริการดีมาก
2094,ฉันจะพาไปดูหมอลำ
2095,พบเชื้อโรคระบาดในฟาร์มหมู
2096,จะไปทำงาน
2097,รีบมานั่งกินข้าวนะ
2098,ช่วยแจ้งพนักงานให้หน่อย
2099,ไม่เป็นไรหรอก
2100,ฝนตกทั้งวัน
2101,เรา มี โปร ซื้อหนึ่งแถมหนึ่ง
2102,เราจะเอาแบบไม่ใส่น้ำตาล
2103,ฉันจะไปเยี่ยมพี่ที่อยู่กรุงเทพฯ
2104,ฉันจะไปกรุงเทพอาทิตย์หน้า
2105,ฉันจะไปตลาดซื้อหมู
2106,เราต้องตัดสินใจตอนนี้หรือเปล่า
2107,คิดถึงครอบครัวไหม
2108,อย่าเล่นโทรศัพท์มากนะ
2109,ฉันอยากกินข้าวเหนียว
2110,จะไปไหน
2111,เราจะทำอะไรต่อ
2112,เราจะดูเมนูก่อน
2113,ใช้คูปองลดราคาได้ไหม
2114,ฉันกำลังฟังวิทยุสถานีบ้านเราสนุกมาก
2115,ไปดูพระอาทิตย์ตกดินริมแม่น้ำโขง
2116,ไอเดียนี้สร้างสรรค์มาก
2117,พวกเราจะไปตกปลาที่ลำธาร
2118,ใช่จะไปส่งเราไหม
2119,ไปโรงพยาบาลด้วยกันไหม
2120,ไม่ต้องเป็นห่วง
2121,ฉันอยากได้เสื้อสีฟ้า
2122,ต้องรอคิวนานแค่ไหน
2123,พวกเราจะไปงานแต่งเพื่อน
2124,ไม่ต้องกังวล
2125,ลืมปิดประตูบ้าน
2126,มันคืออะไร
2127,เธอรู้ร้านซ่อมจักรยานไหม
2128,พวกเรา มาเล่นเกมด้วยกัน
2129,อย่าลืมนำข้าวไปกินด้วย
2130,เธออยากกินอะไร
2131,แนวกินอยู่ที่ไหน
2132,ไม่รู้ว่าจะไปไหนดี
2133,ไม่ต้องห่วงนะ
2134,ฝนตกแล้วเอาร่มไปด้วยนะ
2135,สินค้าตัวนี้หมดแล้วจะเข้ามาอีกเมื่อไหร่
2136,งานศิลปะนี้ไม่เข้าใจ
2137,ฉันจะไปตลาดซื้อไก่
2138,เธอไปทำอะไรมา
2139,ฉันกำลังจะไปเล่นกีฬา
2140,พรุ่งนี้ฉันว่าง
2141,ราคาน้ำมันขึ้นสูงมาก
