id,output
2055,ฉัน ไม่ มี เวลา เยอะ
2056,ไม่ รู้ ว่า จะ ใช้ แอป นี้ ยังไง
2057,เธอ มี เบอร์โทร ติดต่อ ฉัน ไหม
2058,เรา   มา จะ ลอง ทำ ดู
2059,ไป นอน ก่อน นะ
2060,เธอ เป็น คน ดีมาก
2061,พี่ จะ ซื้อ เสื้อ ตัวใหม่
2062,เธอ จะ ไม่ ไป เล่น น้ำ เหรอ
2063,ถึง แล้ว โทร บอก ด้วย นะ
2064,วันนี้ ทำ อะไร กิน บ้าง
2065,จะ สมัครเรียน คอร์ส ใหม่ ไหม
2066,ฝนตก อีกแล้ว จะ ไป ไหน ดี
2067,อย่า เกลียด ฉัน
2068,เรา จะ ไป ตลาดนัด
2069,วันนี้ ทำ อะไร
2070,เธอ น่ารัก มาก
2071,รถไฟฟ้า หยุด ให้บริการ เมื่อไหร่
2072,ใช่ แล้ว หรือยัง
2073,ไม่ค่อย โอเค กับ พฤติกรรม แบบนี้
2074,จะ ไป ทอดแห หา ปลา
2075,อยากได้ คุณภาพดี
2076,สินค้า ตัว นี้ สามารถ กันน้ำ แล้ วกะ ทน ต่อ แรง กระแทก ได้ ไหม
2077,ขึ้นรถ   เร็ว ๆ   จะ ไป แล้ว
2078,จะ ใส่ น้ำแข็ง เยอะ ๆ นะ
2079,เธอ จะ ไม่ ไปดู คอนเสิร์ต เหรอ
2080,เรา จะ มี ประชุม พรุ่งนี้ เช้า จำไว้ ให้ ดี นะ อย่า ลืม
2081,พายุ เข้า อีสาน ฝน ตกหนัก มาก ใน บาง พื้นที่
2082,ทำ ยังไง ก็ได้
2083,กินข้าว หรือยัง
2084,สินค้า นี้ มี รับประกัน กี่ ปี
2085,อาการ ดีขึ้น ไหม
2086,พรุ่งนี้ เรา จะ ไป สวนสัตว์
2087,เธอ เกลียด ฉัน ไหม
2088,ร้าน นี้ รับ บัตรเครดิต หรือ เงินสด
2089,ขอ เปลี่ยน ห้อง ได้ ไหม
2090,เธอ จะ ไม่ ไป ทำงาน หรือ
2091,อันนี้ คือ อะไร
2092,ฉัน จะ กลับบ้าน ก่อน
2093,บริการ ดีมาก
2094,ฉัน จะ พา ไปดู หมอลำ
2095,พบ เชื้อ โรคระบาด ใน ฟาร์ม หมู
2096,จะ ไป ทำงาน
2097,รีบ มา นั่ง กินข้าว นะ
2098,ช่วย แจ้ง พนักงาน ให้ หน่อย
2099,ไม่เป็นไร หรอก
2100,ฝนตก ทั้งวัน
2101,เรา   มี   โปร   ซื้อ หนึ่ง แถม หนึ่ง
2102,เรา จะ เอา แบบ ไม่ ใส่ น้ำตาล
2103,ฉัน จะ ไป เยี่ยม พี่ ที่อยู่ กรุงเทพฯ
2104,ฉัน จะ ไป กรุงเทพ อาทิตย์ หน้า
2105,ฉัน จะ ไป ตลาด ซื้อ หมู
2106,เรา ต้อง ตัดสินใจ ตอนนี้ หรือเปล่า
2107,คิดถึง ครอบครัว ไหม
2108,อย่า เล่น โทรศัพท์ มาก นะ
2109,ฉัน อยาก กิน ข้าวเหนียว
2110,จะ ไป ไหน
2111,เรา จะ ทำ อะไร ต่อ
2112,เรา จะ ดู เมนู ก่อน
2113,ใช้ คูปอง ลดราคา ได้ ไหม
2114,ฉัน กำลัง ฟัง วิทยุ สถานี บ้าน เรา สนุก มาก
2115,ไปดู พระอาทิตย์ตกดิน ริมแม่น้ำ โขง
2116,ไอเดีย นี้ สร้างสรรค์ มาก
2117,พวกเรา จะ ไป ตกปลา ที่ ลำธาร
2118,ใช่ จะ ไป ส่ง เรา ไหม
2119,ไป โรงพยาบาล ด้วยกัน ไหม
2120,ไม่ต้อง เป็นห่วง
2121,ฉัน อยากได้ เสื้อ สี ฟ้า
2122,ต้อง รอ คิว นาน แค่ ไหน
2123,พวกเรา จะ ไป งานแต่ง เพื่อน
2124,ไม่ต้อง กังวล
2125,ลืม ปิดประตู บ้าน
2126,มัน คือ อะไร
2127,เธอ รู้ ร้าน ซ่อม จักรยาน ไหม
2128,พวกเรา   มา เล่น เกม ด้วยกัน
2129,อย่า ลืม นำ ข้าว ไป กิน ด้วย
